user,resource,rating
Tanya,DS8,2
Tanya,DS7,3.5
Tanya,DS6,3.5
Tanya,DS5,4
Tanya,DS4,4.5
Tanya,DS2,2.5
Tanya,DS1,2
Tanya,OS2,2.6
Tanya,OS4,4.8
Tanya,OS5,4.1
Tanya,OS11,4.6
Tanya,OS7,2.1
Tanya,OS12,1.8
Neethu,DS4,2.5
Neethu,DS7,4
Neethu,DS8,3
Neethu,DS9,4
Neethu,DS11,1
Neethu,DS12,5
Neethu,DB5,2.5
Neethu,DB7,4
Neethu,DB8,4.5
Neethu,DB9,4.5
Neethu,DB12,4.5
Neethu,DB13,3.5
Neethu,P5,3
Neethu,P7,4.5
Neethu,P8,4
Neethu,P9,4.5
Neethu,P10,1.5
Neethu,OS3,1.2
Neethu,OS5,2.6
Neethu,OS7,4.1
Neethu,OS8,4.2
Neethu,OS11,2.5
Neethu,OS12,4.6
Divya,DS2,4
Divya,DS3,3.8
Divya,DS5,2.5
Divya,DS8,1
Divya,DB1,4.4
Divya,DB2,4.2
Divya,DB6,2.5
Divya,DB10,3.9
Divya,DB11,2.9
Divya,P1,3.9
Divya,P3,4.2
Divya,P5,3
Divya,P10,4
Divya,P14,2.6
Divya,OS2,4
Divya,OS3,4.3
Divya,OS6,2.9
Divya,OS12,1.5
Kriti,DS1,4.2
Kriti,DS3,4.3
Kriti,DS5,3.1
Kriti,DS7,1.6
Kriti,DS11,2.9
Kriti,DB3,4.4
Kriti,DB4,3.9
Kriti,DB7,2
Kriti,DB12,1.8
Kriti,DB15,3
Kriti,P2,4.2
Kriti,P5,3.95
Kriti,P8,2
Kriti,P11,2.8
Kriti,P13,1.9
Kriti,OS3,4.5
Kriti,OS4,3
Kriti,OS7,2
Kriti,OS10,3.9
Kriti,OS11,2.3
Shera,DS1,4
Shera,DS3,4.2
Shera,DS4,3.1
Shera,DS6,2.4
Shera,DS8,1.6
Shera,DS11,2.9
Shera,DB2,4.3
Shera,DB3,4.1
Shera,DB5,3.5
Shera,DB9,2
Shera,DB14,2.8
Shera,P2,4.2
Shera,P3,4.1
Shera,P6,2.4
Shera,P7,1.8
Shera,P11,2.8
Shera,P13,1.6
Shera,OS3,4.3
Shera,OS6,2.9
Shera,OS7,1.8
Shera,OS10,4.2
Shera,OS11,2.75
Shera,OS12,1.65
Gaur,DS1,4.7
Gaur,DS4,2.88
Gaur,DS10,3.99
Gaur,DS11,2.77
Gaur,DS12,1.69
Gaur,DB1,4.35
Gaur,DB3,4.33
Gaur,DB5,3.22
Gaur,DB7,2.1
Gaur,DB10,4.34
Gaur,DB13,2
Gaur,DB14,3
Gaur,P2,4.5
Gaur,P4,2.8
Gaur,P6,2.7
Gaur,P8,2
Gaur,P11,3
Gaur,P13,2
Gaur,P14,2.8
Gaur,OS1,4
Gaur,OS2,4.2
Gaur,OS5,3.2
Gaur,OS9,1.9
Gaur,OS11,2.9
Gaur,OS12,1.75
Tushar,DS1,1.5
Tushar,DS4,3.9
Tushar,DS6,4.3
Tushar,DS8,3
Tushar,DS9,3.2
Tushar,DS12,2.5
Tushar,DB2,2.3
Tushar,DB3,1.7
Tushar,DB6,4.6
Tushar,DB7,2.7
Tushar,DB11,4.7
Tushar,DB13,3.2
Tushar,DB14,4.33
Tushar,P1,1.8
Tushar,P6,4
Tushar,P7,3
Tushar,P9,2.6
Tushar,P13,2.8
Tushar,P14,4.5
Tushar,OS2,2.6
Tushar,OS4,4.4
Tushar,OS5,4.3
Tushar,OS9,3
Tushar,OS10,2
Tushar,OS12,3
Ujjawal,DS2,2.22
Ujjawal,DS3,2.57
Ujjawal,DS5,3.99
Ujjawal,DS6,4.34
Ujjawal,DS9,2.88
Ujjawal,DS10,2
Ujjawal,DS12,3
Ujjawal,DB1,2.25
Ujjawal,DB4,4.35
Ujjawal,DB6,4.44
Ujjawal,DB8,2.45
Ujjawal,DB10,1.75
Ujjawal,DB11,3.9
Ujjawal,DB15,4.2
Ujjawal,P1,2
Ujjawal,P2,1
Ujjawal,P4,4
Ujjawal,P5,4.5
Ujjawal,P9,3
Ujjawal,P12,2.5
Ujjawal,P14,4.5
Ujjawal,OS2,3
Ujjawal,OS4,4.5
Ujjawal,OS5,4.2
Ujjawal,OS7,2.8
Ujjawal,OS10,2
Ujjawal,OS12,3
DK,DS1,2
DK,DS4,4.3
DK,DS6,4.5
DK,DS8,2.9
DK,DS9,2.7
DK,DS12,3
DK,DB2,1.8
DK,DB4,4.5
DK,DB5,4.1
DK,DB7,3.1
DK,DB10,2.2
DK,DB11,4
DK,DB14,4.2
DK,P2,1.8
DK,P4,4.6
DK,P6,4.2
DK,P8,2.8
DK,P9,2.5
DK,P11,4
DK,P12,3
DK,OS1,1.5
DK,OS5,4.5
DK,OS6,4.8
DK,OS8,2.8
DK,OS10,1.75
DK,OS11,4.55
Salil,DS3,2
Salil,DS5,4.5
Salil,DS6,4.3
Salil,DS7,2.8
Salil,DS9,2.5
Salil,DS12,2.3
Salil,DB1,2
Salil,DB4,4
Salil,DB5,4.5
Salil,DB9,2.3
Salil,DB10,1.75
Salil,DB11,4.2
Salil,DB15,4.4
Salil,P1,2
Salil,P2,1.7
Salil,P5,4.3
Salil,P6,4.6
Salil,P9,3
Salil,P10,2
Salil,P11,4
Salil,OS2,2
Salil,OS5,4.8
Salil,OS8,3
Salil,OS9,2.7
Salil,OS10,1.8
Salil,OS12,2.8
Kshitij,DS1,1
Kshitij,DS3,1.6
Kshitij,DS5,3
Kshitij,DS6,3.5
Kshitij,DS8,4.3
Kshitij,DS9,4.5
Kshitij,DS11,2.78
Kshitij,DB3,2
Kshitij,DB4,2.6
Kshitij,DB5,2.9
Kshitij,DB8,4.3
Kshitij,DB11,3
Kshitij,DB13,4
Kshitij,P6,3
Kshitij,P7,4.7
Kshitij,P8,4.2
Kshitij,P11,2.5
Kshitij,P13,3.9
Kshitij,OS2,2
Kshitij,OS4,2.5
Kshitij,OS6,3.5
Kshitij,OS9,4
Kshitij,OS12,4.2
Jaswinder,DS2,2
Jaswinder,DS4,2.8
Jaswinder,DS5,3
Jaswinder,DS7,4
Jaswinder,DS9,4.5
Jaswinder,DS10,1.7
Jaswinder,DS11,2.5
Jaswinder,DB2,1.5
Jaswinder,DB4,2.8
Jaswinder,DB8,3.6
Jaswinder,DB9,4.4
Jaswinder,DB11,3
Jaswinder,DB12,4.5
Jaswinder,P2,2
Jaswinder,P5,2.8
Jaswinder,P7,4
Jaswinder,P9,4.44
Jaswinder,P14,3
Jaswinder,OS3,2
Jaswinder,OS5,2.95
Jaswinder,OS6,3
Jaswinder,OS7,4.44
Jaswinder,OS8,4.75
Jaswinder,OS11,3.2
